latitude,longitude,hour,day_of_week
16.4425,80.5642,8,1
16.4431,80.5639,9,2
16.4429,80.5645,17,3
16.4420,80.5640,18,4
16.4433,80.5637,12,5
16.4428,80.5641,14,6
16.4425,80.5642,10,7
16.4431,80.5639,11,1
16.4429,80.5645,15,2
16.4420,80.5640,16,3
16.4426,80.5643,8,4
16.4432,80.5638,9,5
16.4427,80.5646,17,6
16.4421,80.5639,18,7
16.4434,80.5636,12,1
16.4427,80.5642,14,2
16.4380,80.5520,8,1
16.4385,80.5525,9,2
16.4378,80.5518,17,3
16.4382,80.5522,18,4
16.4380,80.5520,12,5
16.4386,80.5526,14,6
16.4379,80.5519,10,7
16.4381,80.5521,11,1
16.4377,80.5517,15,2
16.4383,80.5523,16,3
16.4388,80.5528,8,4
16.4384,80.5524,9,5
16.4376,80.5516,17,6
16.4382,80.5522,18,7
16.4389,80.5529,12,1
16.4375,80.5515,14,2
16.4712,80.5101,8,1
16.4708,80.5098,17,2
16.4715,80.5103,18,3
16.4710,80.5095,9,4
16.4714,80.5102,12,5
16.4707,80.5097,14,6
16.4711,80.5100,10,7
16.4713,80.5104,11,1
16.4709,80.5096,15,2
16.4716,80.5105,16,3
16.4712,80.5101,8,4
16.4708,80.5098,17,5
16.4715,80.5103,18,6
16.4710,80.5095,9,7
16.4714,80.5102,12,1
16.4707,80.5097,14,2
16.4500,80.5220,8,1
16.4505,80.5225,9,2
16.4498,80.5218,17,3
16.4502,80.5222,18,4
16.4500,80.5220,12,5
16.4506,80.5226,14,6
16.4499,80.5219,10,7
16.4501,80.5221,11,1
16.4497,80.5217,15,2
16.4503,80.5223,16,3
16.4508,80.5228,8,4
16.4504,80.5224,9,5
16.4496,80.5216,17,6
16.4502,80.5222,18,7
16.4509,80.5229,12,1
16.4495,80.5215,14,2
16.4835,80.6033,8,1
16.4840,80.6030,9,2
16.4838,80.6035,17,3
16.4832,80.6028,18,4
16.4842,80.6038,12,5
16.4836,80.6032,14,6
16.4839,80.6036,10,7
16.4833,80.6029,11,1
16.4841,80.6037,15,2
16.4837,80.6034,16,3
16.4835,80.6033,8,4
16.4840,80.6030,9,5
16.4838,80.6035,17,6
16.4832,80.6028,18,7
16.4842,80.6038,12,1
16.4836,80.6032,14,2
16.5050,80.6120,8,1
16.5055,80.6125,9,2
16.5048,80.6118,17,3
16.5052,80.6122,18,4
16.5050,80.6120,12,5
16.5056,80.6126,14,6
16.5049,80.6119,10,7
16.5051,80.6121,11,1
16.5047,80.6117,15,2
16.5053,80.6123,16,3
16.5058,80.6128,8,4
16.5054,80.6124,9,5
16.5046,80.6116,17,6
16.5052,80.6122,18,7
16.5059,80.6129,12,1
16.5045,80.6115,14,2
16.5063,80.6452,17,5
16.5071,80.6449,18,5
16.5068,80.6455,17,6
16.5182,80.6321,20,1
16.5179,80.6319,21,1
16.5180,80.6320,20,2
16.5183,80.6322,22,3
16.5181,80.6318,21,4
16.4998,80.6521,9,1
16.4995,80.6519,8,2
16.4996,80.6520,9,3
16.4851,80.6789,12,6
16.4853,80.6787,13,6
16.4850,80.6790,14,7
16.5078,80.6401,17,1
16.5080,80.6403,18,2
16.5079,80.6402,17,3
16.5012,80.6478,19,4
16.5014,80.6476,20,5
16.5013,80.6477,19,6
16.5134,80.6378,8,7
16.5132,80.6376,9,1
16.5135,80.6379,8,2
16.4750,80.4850,7,1
16.4752,80.4852,8,2
16.4755,80.4855,9,3
16.4748,80.4848,16,4
16.4753,80.4853,17,5
16.4750,80.4850,18,6
16.4750,80.4850,7,7
16.4752,80.4852,8,1
16.4755,80.4855,9,2
16.4748,80.4848,16,3
16.4753,80.4853,17,4
16.4750,80.4850,18,5
16.4750,80.4850,7,6
16.4752,80.4852,12,7
16.4755,80.4855,14,1
16.4748,80.4848,16,2
16.4753,80.4853,18,3
16.4750,80.4850,20,4
16.5120,80.6010,7,1
16.5122,80.6012,8,2
16.5125,80.6015,9,3
16.5118,80.6008,16,4
16.5123,80.6013,17,5
16.5120,80.6010,18,6
16.5120,80.6010,7,7
16.5122,80.6012,8,1
16.5125,80.6015,9,2
16.5118,80.6008,16,3
16.5123,80.6013,17,4
16.5120,80.6010,18,5
16.5120,80.6010,7,6
1D.5122,80.6012,12,7
16.5125,80.6015,14,1
16.5118,80.6008,16,2
